Phoneme,ʁ,ʃ,ʊ, ,.,ɲ,:,χ,I,ŋ,g,œ,ɔ,ə,ɛ,a,b,e,d,ç,f,i,h,k,j,m,l,o,n,p,s,r,u,t,v,y,ø,z,ɾ
Line 1,0.0,0.038461538461538464,0.038461538461538464,0.15384615384615385,0.15384615384615385,0.0,0.11538461538461539,0.0,0.11538461538461539,0.0,0.0,0.038461538461538464,0.0,0.038461538461538464,0.038461538461538464,0.11538461538461539,0.038461538461538464,0.0,0.0,0.07692307692307693,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.038461538461538464,0.0,0.11538461538461539,0.0,0.0,0.038461538461538464,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.038461538461538464
Line 2,0.0,0.0,0.041666666666666664,0.125,0.20833333333333334,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.0,0.041666666666666664,0.041666666666666664,0.0,0.041666666666666664,0.0,0.0,0.041666666666666664,0.0,0.041666666666666664,0.125,0.041666666666666664,0.041666666666666664,0.0,0.041666666666666664,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.041666666666666664,0.0
Line 3,0.0,0.043478260869565216,0.043478260869565216,0.13043478260869565,0.17391304347826086,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.08695652173913043,0.0,0.13043478260869565,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.043478260869565216,0.0,0.0,0.043478260869565216,0.043478260869565216,0.0,0.08695652173913043,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.08695652173913043,0.0,0.0,0.0,0.0,0.0
Line 4,0.043478260869565216,0.043478260869565216,0.08695652173913043,0.13043478260869565,0.21739130434782608,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.043478260869565216,0.043478260869565216,0.0,0.0,0.0,0.043478260869565216,0.0,0.043478260869565216,0.0,0.043478260869565216,0.0,0.0,0.0,0.043478260869565216,0.043478260869565216,0.08695652173913043,0.0,0.0,0.0,0.0,0.043478260869565216,0.043478260869565216,0.0,0.0,0.043478260869565216,0.043478260869565216
Line 5,0.038461538461538464,0.0,0.038461538461538464,0.19230769230769232,0.23076923076923078,0.0,0.038461538461538464,0.0,0.11538461538461539,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.038461538461538464,0.0,0.0,0.038461538461538464,0.07692307692307693,0.0,0.07692307692307693,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.038461538461538464,0.0,0.038461538461538464,0.0,0.0,0.038461538461538464,0.11538461538461539,0.0,0.0,0.0,0.038461538461538464
Line 6,0.08,0.0,0.0,0.2,0.24,0.0,0.0,0.0,0.04,0.0,0.04,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.04,0.04,0.0,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.08,0.04,0.0,0.0,0.0,0.08,0.04,0.0,0.0,0.0,0.04
Line 7,0.043478260869565216,0.0,0.13043478260869565,0.13043478260869565,0.21739130434782608,0.0,0.043478260869565216,0.043478260869565216,0.08695652173913043,0.0,0.0,0.0,0.0,0.08695652173913043,0.0,0.043478260869565216,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.043478260869565216,0.0,0.0,0.043478260869565216,0.0,0.0,0.08695652173913043,0.0,0.043478260869565216,0.0,0.0,0.08695652173913043,0.0,0.0,0.0,0.0,0.0
Line 8,0.043478260869565216,0.043478260869565216,0.0,0.08695652173913043,0.17391304347826086,0.0,0.043478260869565216,0.0,0.08695652173913043,0.0,0.0,0.0,0.0,0.08695652173913043,0.0,0.13043478260869565,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.13043478260869565,0.0,0.0,0.08695652173913043,0.043478260869565216,0.0,0.0,0.0,0.08695652173913043,0.043478260869565216,0.0,0.0,0.0,0.0
Line 9,0.11538461538461539,0.0,0.07692307692307693,0.11538461538461539,0.19230769230769232,0.0,0.038461538461538464,0.0,0.11538461538461539,0.0,0.0,0.0,0.0,0.11538461538461539,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.038461538461538464,0.0,0.0,0.11538461538461539,0.0,0.0,0.0,0.0,0.11538461538461539,0.038461538461538464,0.0,0.0,0.0,0.0
Line 10,0.045454545454545456,0.0,0.045454545454545456,0.18181818181818182,0.22727272727272727,0.0,0.0,0.09090909090909091,0.045454545454545456,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.09090909090909091,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0
Line 11,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.13043478260869565,0.17391304347826086,0.0,0.043478260869565216,0.0,0.08695652173913043,0.0,0.0,0.0,0.0,0.13043478260869565,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.043478260869565216,0.0,0.0,0.08695652173913043,0.0,0.08695652173913043,0.0,0.0,0.0,0.0,0.0
Line 12,0.13043478260869565,0.0,0.043478260869565216,0.17391304347826086,0.21739130434782608,0.0,0.0,0.043478260869565216,0.043478260869565216,0.0,0.0,0.0,0.0,0.08695652173913043,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.043478260869565216,0.043478260869565216,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0
Line 13,0.0,0.04,0.0,0.16,0.2,0.0,0.04,0.0,0.08,0.0,0.0,0.0,0.0,0.08,0.04,0.12,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.08,0.0,0.12,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.04
Line 14,0.0,0.045454545454545456,0.0,0.13636363636363635,0.18181818181818182,0.0,0.045454545454545456,0.0,0.13636363636363635,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.0,0.0,0.09090909090909091,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.045454545454545456,0.09090909090909091,0.09090909090909091,0.045454545454545456,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.045454545454545456
Line 15,0.0,0.038461538461538464,0.038461538461538464,0.15384615384615385,0.19230769230769232,0.0,0.07692307692307693,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.11538461538461539,0.0,0.0,0.07692307692307693,0.0,0.0,0.038461538461538464,0.038461538461538464,0.0,0.0,0.07692307692307693,0.0,0.0,0.07692307692307693,0.0,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.07692307692307693,0.0,0.0,0.0,0.0,0.0
Line 16,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.15384615384615385,0.19230769230769232,0.0,0.038461538461538464,0.0,0.038461538461538464,0.0,0.038461538461538464,0.0,0.0,0.038461538461538464,0.0,0.07692307692307693,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.11538461538461539,0.0,0.038461538461538464,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.038461538461538464,0.038461538461538464
Line 17,0.0,0.038461538461538464,0.038461538461538464,0.19230769230769232,0.23076923076923078,0.0,0.038461538461538464,0.0,0.038461538461538464,0.0,0.0,0.0,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.11538461538461539,0.0,0.0,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.0,0.0,0.038461538461538464,0.0,0.038461538461538464,0.0,0.0,0.07692307692307693,0.0,0.038461538461538464,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.038461538461538464,0.038461538461538464
Line 18,0.0,0.04,0.04,0.16,0.2,0.0,0.12,0.0,0.08,0.0,0.0,0.0,0.0,0.04,0.0,0.2,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.16,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04
Line 19,0.0,0.0,0.0,0.17391304347826086,0.21739130434782608,0.0,0.0,0.0,0.08695652173913043,0.043478260869565216,0.0,0.0,0.0,0.08695652173913043,0.043478260869565216,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.043478260869565216,0.0,0.043478260869565216,0.0,0.0,0.043478260869565216,0.043478260869565216,0.13043478260869565,0.0,0.08695652173913043,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.043478260869565216,0.0
Line 20,0.0,0.0,0.05,0.15,0.2,0.05,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.1,0.0,0.05,0.0,0.0,0.0,0.0,0.05,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0
Line 21,0.0,0.03571428571428571,0.03571428571428571,0.14285714285714285,0.21428571428571427,0.0,0.03571428571428571,0.0,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.0,0.0,0.10714285714285714,0.03571428571428571,0.10714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10714285714285714,0.0,0.07142857142857142,0.0,0.07142857142857142,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0
Line 22,0.0,0.0,0.045454545454545456,0.13636363636363635,0.18181818181818182,0.0,0.0,0.045454545454545456,0.045454545454545456,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.09090909090909091,0.0,0.0,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.13636363636363635,0.0,0.0,0.09090909090909091,0.0,0.045454545454545456,0.045454545454545456,0.0,0.045454545454545456,0.0,0.0
Line 23,0.043478260869565216,0.0,0.0,0.13043478260869565,0.2608695652173913,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.08695652173913043,0.043478260869565216,0.043478260869565216,0.0,0.08695652173913043,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.0,0.08695652173913043,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.043478260869565216
Line 24,0.0,0.0,0.0,0.15,0.2,0.0,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.05,0.05,0.05,0.05,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
