Phoneme,ʁ,ʃ,ʊ, ,',.,:,χ,I,ç,ɔ,ə,ɛ,a,b,e,d,g,f,i,h,k,j,m,l,o,n,p,s,r,u,t,v,y,z,ɾ
Line 1,0.06451612903225806,0.0,0.03225806451612903,0.22580645161290322,0.06451612903225806,0.25806451612903225,0.0,0.06451612903225806,0.0,0.0,0.0,0.03225806451612903,0.06451612903225806,0.0967741935483871,0.03225806451612903,0.03225806451612903,0.06451612903225806,0.03225806451612903,0.0,0.03225806451612903,0.03225806451612903,0.0,0.03225806451612903,0.06451612903225806,0.03225806451612903,0.0,0.03225806451612903,0.0,0.03225806451612903,0.0,0.0,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903
Line 2,0.05555555555555555,0.0,0.0,0.1388888888888889,0.1111111111111111,0.19444444444444445,0.05555555555555555,0.0,0.08333333333333333,0.0,0.027777777777777776,0.08333333333333333,0.027777777777777776,0.05555555555555555,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.05555555555555555,0.0,0.05555555555555555,0.0,0.0,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.0,0.05555555555555555,0.027777777777777776,0.027777777777777776,0.0,0.0,0.05555555555555555,0.027777777777777776,0.0,0.0,0.08333333333333333
Line 3,0.0,0.0,0.0,0.25,0.03125,0.28125,0.03125,0.0,0.125,0.03125,0.0,0.03125,0.03125,0.0625,0.0,0.0,0.03125,0.0625,0.03125,0.03125,0.03125,0.03125,0.03125,0.0,0.03125,0.0,0.0625,0.03125,0.0625,0.0,0.03125,0.09375,0.03125,0.03125,0.0,0.0625
Line 4,0.0,0.0,0.0,0.2222222222222222,0.05555555555555555,0.25,0.08333333333333333,0.0,0.1111111111111111,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.1111111111111111,0.0,0.0,0.0,0.0,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.0,0.0,0.05555555555555555,0.027777777777777776,0.0,0.1388888888888889,0.0,0.05555555555555555,0.0,0.027777777777777776,0.05555555555555555,0.027777777777777776,0.027777777777777776,0.0,0.1111111111111111
Line 5,0.0,0.0,0.030303030303030304,0.18181818181818182,0.06060606060606061,0.24242424242424243,0.030303030303030304,0.0,0.09090909090909091,0.030303030303030304,0.0,0.030303030303030304,0.09090909090909091,0.06060606060606061,0.0,0.0,0.06060606060606061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.09090909090909091,0.0,0.09090909090909091,0.0,0.030303030303030304,0.12121212121212122,0.030303030303030304,0.0,0.030303030303030304,0.06060606060606061
Line 6,0.0,0.03333333333333333,0.0,0.2,0.1,0.23333333333333334,0.03333333333333333,0.0,0.06666666666666667,0.0,0.0,0.1,0.03333333333333333,0.1,0.03333333333333333,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.03333333333333333,0.06666666666666667,0.03333333333333333,0.1,0.0,0.06666666666666667,0.0,0.0,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.0
Line 7,0.0,0.0,0.08571428571428572,0.17142857142857143,0.08571428571428572,0.22857142857142856,0.05714285714285714,0.0,0.0,0.0,0.0,0.08571428571428572,0.0,0.11428571428571428,0.0,0.02857142857142857,0.08571428571428572,0.0,0.02857142857142857,0.02857142857142857,0.05714285714285714,0.02857142857142857,0.0,0.0,0.05714285714285714,0.0,0.14285714285714285,0.0,0.08571428571428572,0.0,0.02857142857142857,0.05714285714285714,0.0,0.0,0.0,0.0
Line 8,0.0,0.0,0.15151515151515152,0.24242424242424243,0.030303030303030304,0.2727272727272727,0.09090909090909091,0.0,0.0,0.0,0.030303030303030304,0.030303030303030304,0.0,0.12121212121212122,0.030303030303030304,0.06060606060606061,0.06060606060606061,0.0,0.030303030303030304,0.0,0.030303030303030304,0.0,0.0,0.030303030303030304,0.030303030303030304,0.0,0.12121212121212122,0.0,0.09090909090909091,0.0,0.0,0.06060606060606061,0.0,0.0,0.030303030303030304,0.06060606060606061
Line 9,0.0,0.06451612903225806,0.06451612903225806,0.1935483870967742,0.0967741935483871,0.25806451612903225,0.0,0.0,0.03225806451612903,0.0,0.03225806451612903,0.0967741935483871,0.0,0.06451612903225806,0.0,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.0,0.03225806451612903,0.0,0.0,0.06451612903225806,0.03225806451612903,0.03225806451612903,0.0,0.0,0.06451612903225806,0.0,0.0,0.0,0.0967741935483871
Line 10,0.0,0.02631578947368421,0.0,0.18421052631578946,0.07894736842105263,0.21052631578947367,0.05263157894736842,0.0,0.07894736842105263,0.02631578947368421,0.05263157894736842,0.02631578947368421,0.02631578947368421,0.10526315789473684,0.0,0.0,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.0,0.0,0.0,0.0,0.02631578947368421,0.02631578947368421,0.0,0.07894736842105263,0.0,0.05263157894736842,0.0,0.0,0.07894736842105263,0.02631578947368421,0.05263157894736842,0.05263157894736842,0.10526315789473684
Line 11,0.030303030303030304,0.0,0.0,0.18181818181818182,0.12121212121212122,0.21212121212121213,0.0,0.030303030303030304,0.030303030303030304,0.0,0.030303030303030304,0.06060606060606061,0.06060606060606061,0.06060606060606061,0.09090909090909091,0.0,0.12121212121212122,0.0,0.0,0.030303030303030304,0.0,0.0,0.0,0.030303030303030304,0.06060606060606061,0.0,0.0,0.0,0.09090909090909091,0.0,0.06060606060606061,0.06060606060606061,0.030303030303030304,0.0,0.0,0.0
Line 12,0.03225806451612903,0.0,0.06451612903225806,0.22580645161290322,0.0967741935483871,0.25806451612903225,0.0,0.0,0.03225806451612903,0.0,0.0,0.0967741935483871,0.0,0.0,0.0,0.0,0.03225806451612903,0.0,0.0,0.06451612903225806,0.0,0.0,0.0,0.06451612903225806,0.0967741935483871,0.0,0.12903225806451613,0.0,0.06451612903225806,0.0,0.03225806451612903,0.0967741935483871,0.0,0.06451612903225806,0.0,0.03225806451612903
Line 13,0.0,0.02631578947368421,0.02631578947368421,0.15789473684210525,0.10526315789473684,0.18421052631578946,0.07894736842105263,0.0,0.10526315789473684,0.0,0.0,0.07894736842105263,0.0,0.10526315789473684,0.0,0.0,0.02631578947368421,0.07894736842105263,0.02631578947368421,0.02631578947368421,0.0,0.02631578947368421,0.0,0.02631578947368421,0.02631578947368421,0.0,0.10526315789473684,0.0,0.05263157894736842,0.0,0.0,0.05263157894736842,0.05263157894736842,0.02631578947368421,0.0,0.02631578947368421
Line 14,0.0,0.0,0.0,0.19444444444444445,0.05555555555555555,0.25,0.08333333333333333,0.0,0.1388888888888889,0.08333333333333333,0.05555555555555555,0.027777777777777776,0.027777777777777776,0.1111111111111111,0.027777777777777776,0.0,0.05555555555555555,0.0,0.0,0.0,0.027777777777777776,0.0,0.0,0.027777777777777776,0.08333333333333333,0.0,0.08333333333333333,0.0,0.05555555555555555,0.0,0.0,0.027777777777777776,0.05555555555555555,0.027777777777777776,0.0,0.027777777777777776
Line 15,0.02857142857142857,0.0,0.0,0.17142857142857143,0.08571428571428572,0.22857142857142856,0.05714285714285714,0.0,0.08571428571428572,0.0,0.02857142857142857,0.08571428571428572,0.02857142857142857,0.05714285714285714,0.05714285714285714,0.0,0.05714285714285714,0.05714285714285714,0.0,0.02857142857142857,0.02857142857142857,0.0,0.02857142857142857,0.05714285714285714,0.02857142857142857,0.0,0.02857142857142857,0.0,0.02857142857142857,0.02857142857142857,0.05714285714285714,0.05714285714285714,0.0,0.0,0.0,0.05714285714285714
Line 16,0.0,0.0,0.027777777777777776,0.19444444444444445,0.08333333333333333,0.25,0.08333333333333333,0.0,0.1388888888888889,0.027777777777777776,0.0,0.05555555555555555,0.027777777777777776,0.1388888888888889,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.05555555555555555,0.0,0.1388888888888889,0.0,0.027777777777777776,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.08333333333333333
Line 17,0.0,0.02564102564102564,0.02564102564102564,0.15384615384615385,0.10256410256410256,0.1794871794871795,0.02564102564102564,0.02564102564102564,0.05128205128205128,0.05128205128205128,0.0,0.10256410256410256,0.02564102564102564,0.05128205128205128,0.02564102564102564,0.0,0.02564102564102564,0.0,0.0,0.05128205128205128,0.0,0.0,0.0,0.07692307692307693,0.05128205128205128,0.0,0.10256410256410256,0.02564102564102564,0.05128205128205128,0.0,0.0,0.10256410256410256,0.02564102564102564,0.0,0.0,0.0
Line 18,0.0,0.0,0.0,0.1794871794871795,0.07692307692307693,0.20512820512820512,0.05128205128205128,0.0,0.07692307692307693,0.02564102564102564,0.02564102564102564,0.07692307692307693,0.02564102564102564,0.05128205128205128,0.02564102564102564,0.0,0.0,0.0,0.02564102564102564,0.0,0.02564102564102564,0.0,0.0,0.02564102564102564,0.0,0.02564102564102564,0.07692307692307693,0.02564102564102564,0.07692307692307693,0.02564102564102564,0.0,0.10256410256410256,0.05128205128205128,0.05128205128205128,0.02564102564102564,0.07692307692307693
Line 19,0.030303030303030304,0.0,0.030303030303030304,0.24242424242424243,0.06060606060606061,0.2727272727272727,0.06060606060606061,0.030303030303030304,0.030303030303030304,0.0,0.030303030303030304,0.06060606060606061,0.0,0.09090909090909091,0.030303030303030304,0.06060606060606061,0.09090909090909091,0.0,0.0,0.06060606060606061,0.030303030303030304,0.030303030303030304,0.0,0.06060606060606061,0.0,0.0,0.09090909090909091,0.0,0.06060606060606061,0.0,0.030303030303030304,0.06060606060606061,0.0,0.0,0.0,0.030303030303030304
Line 20,0.0,0.0,0.034482758620689655,0.1724137931034483,0.06896551724137931,0.2413793103448276,0.034482758620689655,0.0,0.10344827586206896,0.034482758620689655,0.034482758620689655,0.10344827586206896,0.034482758620689655,0.06896551724137931,0.034482758620689655,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,0.034482758620689655,0.0,0.0,0.034482758620689655,0.0,0.20689655172413793,0.0,0.0,0.034482758620689655,0.0,0.06896551724137931,0.0,0.0,0.0,0.06896551724137931
Line 21,0.0,0.0,0.058823529411764705,0.20588235294117646,0.08823529411764706,0.23529411764705882,0.0,0.0,0.029411764705882353,0.0,0.0,0.058823529411764705,0.058823529411764705,0.0,0.0,0.058823529411764705,0.029411764705882353,0.0,0.029411764705882353,0.0,0.029411764705882353,0.0,0.0,0.058823529411764705,0.058823529411764705,0.0,0.14705882352941177,0.0,0.0,0.0,0.029411764705882353,0.14705882352941177,0.029411764705882353,0.029411764705882353,0.0,0.058823529411764705
Line 22,0.08333333333333333,0.041666666666666664,0.0,0.3333333333333333,0.08333333333333333,0.2916666666666667,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.0,0.041666666666666664,0.041666666666666664,0.125,0.041666666666666664,0.0,0.125,0.041666666666666664,0.0,0.041666666666666664,0.0,0.041666666666666664,0.0,0.0,0.0,0.041666666666666664,0.0,0.041666666666666664,0.041666666666666664,0.0,0.0,0.0,0.0
